rank_gain_desc,system_id,name,url,owner,account_type,leverage,platform,gain_pct,drawdown_pct,performance_img_id,raw_text
22,10188767,EAFG 190304,https://www.myfxbook.com/members/eafiltergrid/eafg-190304/10188767,eafiltergrid,Real (filter),,,933.22,47.74,10188767,EAFG 190304 eafiltergrid +933.22% 47.74% +2.73% -7.84% Subscribe Copy Add to watch
23,11655935,Sharp v2 ea real account by gediyafx,https://www.myfxbook.com/members/gediyafx/sharp-v2-ea-real-account/11655935,gediyafx,Real (filter),,,846.67,23.06,11655935,Sharp v2 ea real account by gediyafx gediyafx +846.67% 23.06% +28.28% +184.42% Subscribe Copy Add to watch
24,11857978,5. AFSID Pro Global Investment (2025),https://www.myfxbook.com/members/AFSIDDOTCOM/5-afsid-pro-global-investment/11857978,AFSIDDOTCOM,Real (filter),,,775.96,27.52,11857978,5. AFSID Pro Global Investment (2025) AFSIDDOTCOM +775.96% 27.52% +39.23% +318.35% Subscribe Copy Add to watch
25,10310836,EA Grid Real,https://www.myfxbook.com/members/Lillyscalpingts/ea-grid-real/10310836,Lillyscalpingts,Real (filter),,,771.87,36.03,10310836,EA Grid Real Lillyscalpingts +771.87% 36.03% +4.30% +23.38% Subscribe Copy Add to watch
26,11542997,VIN BDSWISS MT5,https://www.myfxbook.com/members/FF37FL/vin-bdswiss-mt5/11542997,FF37FL,Real (filter),,,651.77,42.54,11542997,VIN BDSWISS MT5 FF37FL +651.77% 42.54% +9.74% +21.80% Subscribe Copy Add to watch
27,11721945,Yen Trading Original,https://www.myfxbook.com/members/itmtrading/yen-trading-original/11721945,itmtrading,Real (filter),,,645.88,33.16,11721945,Yen Trading Original itmtrading +645.88% 33.16% +6.19% +8.24% Subscribe Copy Add to watch
28,10355693,Friday Pro,https://www.myfxbook.com/members/alanproject/friday-pro/10355693,alanproject,Real (filter),,,615.33,32.92,10355693,Friday Pro alanproject +615.33% 32.92% +6.17% +13.40% Subscribe Copy Add to watch
29,10553440,Nad1AcC1,https://www.myfxbook.com/members/SaeedSmartMoney/nad1acc1/10553440,SaeedSmartMoney,Real (filter),,,582.81,33.13,10553440,Nad1AcC1 SaeedSmartMoney +582.81% 33.13% +5.87% +5.75% Subscribe Copy Add to watch
30,11471471,自作EA_XMstandard口座,https://www.myfxbook.com/members/0saru/自作ea-xmstandard口座/11471471,0saru,Real (filter),,,568.79,39.24,11471471,自作EA_XMstandard口座 0saru +568.79% 39.24% +10.98% +7.35% Subscribe Copy Add to watch
31,10420755,AngeloFX VantageMarkets,https://www.myfxbook.com/members/Angeloscotto/angelofx-vantagemarkets/10420755,Angeloscotto,Real (filter),,,554.1,47.92,10420755,AngeloFX VantageMarkets Angeloscotto +554.10% 47.92% +6.01% +26.02% Subscribe Copy Add to watch
32,11762871,CopyADK Forex Algo,https://www.myfxbook.com/members/iamadk/copyadk-forex-algo/11762871,iamadk,Real (filter),,,549.01,48.31,11762871,CopyADK Forex Algo iamadk +549.01% 48.31% +15.83% +90.44% Live update Subscribe Copy Add to watch
33,11940280,GOLDWAVE EA,https://www.myfxbook.com/members/shengzu/goldwave-ea/11940280,shengzu,Real (filter),,,548.71,23.83,11940280,GOLDWAVE EA shengzu +548.71% 23.83% +18.07% +47.81% Live update Subscribe Copy Add to watch
34,10683441,ExpertGPT - Sys01,https://www.myfxbook.com/members/Expert_GPT/expertgpt-sys01/10683441,Expert_GPT,Real (filter),,,539.78,38.11,10683441,ExpertGPT - Sys01 Expert_GPT +539.78% 38.11% +6.47% +19.11% Subscribe Copy Add to watch
35,11579493,BASTET EA,https://www.myfxbook.com/members/kavinle/bastet-ea/11579493,kavinle,Real (filter),,,531.07,36.17,11579493,BASTET EA kavinle +531.07% 36.17% +16.35% +50.20% Subscribe Copy Add to watch
36,11855710,Active Gold Hunter 9K (MT4),https://www.myfxbook.com/members/ActiveTraderLive/active-gold-hunter-9k-mt4/11855710,ActiveTraderLive,Real (filter),,,523.62,28.95,11855710,Active Gold Hunter 9K (MT4) ActiveTraderLive +523.62% 28.95% +7.44% +283.87% Subscribe Copy Add to watch
37,11772219,InvestCopyTrading_MT5,https://www.myfxbook.com/members/tolusios/investcopytrading-mt5/11772219,tolusios,Real (filter),,,498.04,20.39,11772219,InvestCopyTrading_MT5 tolusios +498.04% 20.39% +10.98% +68.38% Subscribe Copy Add to watch
38,11493798,DoIt Gold Guardian,https://www.myfxbook.com/members/DoItTrading/doit-gold-guardian/11493798,DoItTrading,Real (filter),,,493.72,32.71,11493798,DoIt Gold Guardian DoItTrading +493.72% 32.71% +13.56% +158.84% Subscribe Copy Add to watch
39,11877855,MT Neptune Ultra High Risk DO NOT COPY!,https://www.myfxbook.com/members/starpointcapital/mt-neptune-ultra-high-risk/11877855,starpointcapital,Real (filter),,,486.4,41.41,11877855,MT Neptune Ultra High Risk DO NOT COPY! starpointcapital +486.40% 41.41% +486.40% +486.38% Live update Subscribe Copy Add to watch
40,11793873,xNAW,https://www.myfxbook.com/members/dharma0277/xnaw/11793873,dharma0277,Real (filter),,,471.78,42.99,11793873,xNAW dharma0277 +471.78% 42.99% +35.35% +253.96% Subscribe Copy Add to watch
41,11750327,Steady Growth,https://www.myfxbook.com/members/flvt/steady-growth/11750327,flvt,Real (filter),,,468.76,46.21,11750327,Steady Growth flvt +468.76% 46.21% +13.89% +91.37% Subscribe Copy Add to watch
42,11769362,Ocean view,https://www.myfxbook.com/members/bosoboss/ocean-view/11769362,bosoboss,Real (filter),,,445.56,36.77,11769362,Ocean view bosoboss +445.56% 36.77% +2.39% +12.26% Subscribe Copy Add to watch
43,10683460,ExpertGPT - Sys02,https://www.myfxbook.com/members/Expert_GPT/expertgpt-sys02/10683460,Expert_GPT,Real (filter),,,443.23,37.24,10683460,ExpertGPT - Sys02 Expert_GPT +443.23% 37.24% +6.21% +11.38% Subscribe Copy Add to watch
44,12023511,TrueGrowth EA,https://www.myfxbook.com/members/Fx_Kingpin/truegrowth-ea/12023511,Fx_Kingpin,Real (filter),,,442.26,11.71,12023511,TrueGrowth EA Fx_Kingpin +442.26% 11.71% +32.02% +134.45% Subscribe Copy Add to watch
45,11964239,UpEverest MT4,https://www.myfxbook.com/members/tec_daniel/upeverest-mt4/11964239,tec_daniel,Real (filter),,,442.04,48.53,11964239,UpEverest MT4 tec_daniel +442.04% 48.53% +6.15% +19.05% Subscribe Copy Add to watch
46,10054704,Algo6 - Darwinex GOY,https://www.myfxbook.com/members/algo6/algo6-darwinex-goy/10054704,algo6,Real (filter),,,440.61,21.07,10054704,Algo6 - Darwinex GOY algo6 +440.61% 21.07% +7.18% +44.95% Subscribe Copy Add to watch
47,11827065,1. AFSID Metal Hunter Pro-X1 (MT5),https://www.myfxbook.com/members/AFSIDDOTCOM/1-afsid-metal-hunter-pro/11827065,AFSIDDOTCOM,Real (filter),,,390.76,12.95,11827065,1. AFSID Metal Hunter Pro-X1 (MT5) AFSIDDOTCOM +390.76% 12.95% +30.81% +188.86% Subscribe Copy Add to watch
48,11302717,RetireNow MT4,https://www.myfxbook.com/members/tec_daniel/retirenow-mt4/11302717,tec_daniel,Real (filter),,,377.53,43.38,11302717,RetireNow MT4 tec_daniel +377.53% 43.38% +3.92% +7.06% Subscribe Copy Add to watch
49,3099604,SCR-EURAUD,https://www.myfxbook.com/members/Pikasso/scr-euraud/3099604,Pikasso,Real (filter),,,348.5,6.03,3099604,SCR-EURAUD Pikasso +348.50% 6.03% +1.72% +10.66% Subscribe Copy Add to watch
50,11717065,Mean Reversion for LiteFinance,https://www.myfxbook.com/members/QuantalphaAlgo/mean-reversion-for-litefinance/11717065,QuantalphaAlgo,Real (filter),,,343.92,36.08,11717065,Mean Reversion for LiteFinance QuantalphaAlgo +343.92% 36.08% +21.05% +146.46% Subscribe Copy Add to watch
51,10221922,VBS-Conservative+Pineta,https://www.myfxbook.com/members/breki/vbs-conservativepineta/10221922,breki,Real (filter),,,337.89,28.27,10221922,VBS-Conservative+Pineta breki +337.89% 28.27% +2.87% +9.82% Subscribe Copy Add to watch
52,10998658,Wisdom EA (Axi Select),https://www.myfxbook.com/members/eaforexcenterII/wisdom-ea-axi-select/10998658,eaforexcenterII,Real (filter),,,324.66,28.75,10998658,Wisdom EA (Axi Select) eaforexcenterII +324.66% 28.75% +6.80% +93.63% Subscribe Copy Add to watch
53,10066919,AutobotTM,https://www.myfxbook.com/members/apache_borys/autobottm/10066919,apache_borys,Real (filter),,,319.12,45.8,10066919,AutobotTM apache_borys +319.12% 45.80% +3.14% +6.37% Subscribe Copy Add to watch
54,11448157,Aurum Gold EA,https://www.myfxbook.com/members/Marrkdy/aurum-gold-ea/11448157,Marrkdy,Real (filter),,,305.29,19.05,11448157,Aurum Gold EA Marrkdy +305.29% 19.05% +9.14% +85.95% Subscribe Copy Add to watch
55,10632130,No Name EA,https://www.myfxbook.com/members/Tsupamanop/no-name-ea/10632130,Tsupamanop,Real (filter),,,297.41,43.43,10632130,No Name EA Tsupamanop +297.41% 43.43% +5.11% +42.99% Subscribe Copy Add to watch
56,11714727,Aurum Alpha,https://www.myfxbook.com/members/matnul99/aurum-alpha/11714727,matnul99,Real (filter),,,297.0,23.46,11714727,Aurum Alpha matnul99 +297.00% 23.46% +19.30% +56.43% Live update Subscribe Copy Add to watch
57,11205805,USDJPY Stability Pro Growth,https://www.myfxbook.com/members/pablo1904/usdjpy-stability-pro-growth/11205805,pablo1904,Real (filter),,,293.72,22.17,11205805,USDJPY Stability Pro Growth pablo1904 +293.72% 22.17% +7.62% +80.67% Subscribe Copy Add to watch
58,11928688,(MT4) AZK Forex AI 1.026F+,https://www.myfxbook.com/members/AZKGroup/mt4-azk-forex-ai-1026f/11928688,AZKGroup,Real (filter),,,292.26,21.74,11928688,(MT4) AZK Forex AI 1.026F+ AZKGroup +292.26% 21.74% +32.76% +163.98% Subscribe Copy Add to watch
59,11401392,Dragon Revolution,https://www.myfxbook.com/members/VictorCheung/dragon-revolution/11401392,VictorCheung,Real (filter),,,261.93,45.96,11401392,Dragon Revolution VictorCheung +261.93% 45.96% +10.11% -31.84% Subscribe Copy Add to watch
60,11528917,"US500, NASDAQ, DE40 savings account",https://www.myfxbook.com/members/tulga/us500-nasdaq-de40-savings-account/11528917,tulga,Real (filter),,,259.32,13.66,11528917,"US500, NASDAQ, DE40 savings account tulga +259.32% 13.66% +10.38% +43.92% Subscribe Copy Add to watch"
61,11342811,THE KING,https://www.myfxbook.com/members/SignalFxVIP/king/11342811,SignalFxVIP,Real (filter),,,254.9,37.02,11342811,THE KING SignalFxVIP +254.90% 37.02% +8.55% +15.59% Subscribe Copy Add to watch
62,11501818,Goldvesting Aggressive HFM,https://www.myfxbook.com/members/G1000fx/goldvesting-aggressive-hfm/11501818,G1000fx,Real (filter),,,243.19,40.17,11501818,Goldvesting Aggressive HFM G1000fx +243.19% 40.17% +10.82% +58.15% Subscribe Copy Add to watch
63,11720267,Chronos Algo MT4,https://www.myfxbook.com/members/freedomismylife/chronos-algo-mt4/11720267,freedomismylife,Real (filter),,,240.86,32.9,11720267,Chronos Algo MT4 freedomismylife +240.86% 32.90% +2.77% +4.92% Subscribe Copy Add to watch
64,11204162,NoStress MT4,https://www.myfxbook.com/members/tec_daniel/nostress-mt4/11204162,tec_daniel,Real (filter),,,240.6,30.87,11204162,NoStress MT4 tec_daniel +240.60% 30.87% +3.70% +12.50% Subscribe Copy Add to watch
65,11539360,UpFuji MT4,https://www.myfxbook.com/members/tec_daniel/upfuji-mt4/11539360,tec_daniel,Real (filter),,,235.56,36.31,11539360,UpFuji MT4 tec_daniel +235.56% 36.31% +3.91% +25.33% Subscribe Copy Add to watch
66,10782409,DOWJONES (Camellia),https://www.myfxbook.com/members/zerocore/dowjones-camellia/10782409,zerocore,Real (filter),,,231.07,39.69,10782409,DOWJONES (Camellia) zerocore +231.07% 39.69% +4.03% +60.73% Subscribe Copy Add to watch
67,11302676,NoStress MT5,https://www.myfxbook.com/members/tec_daniel/nostress-mt5/11302676,tec_daniel,Real (filter),,,228.55,28.71,11302676,NoStress MT5 tec_daniel +228.55% 28.71% +3.59% +11.06% Subscribe Copy Add to watch
68,11948757,IC ZMH99-CR,https://www.myfxbook.com/members/Zmh99/ic-zmh99-cr/11948757,Zmh99,Real (filter),,,220.63,19.34,11948757,IC ZMH99-CR Zmh99 +220.63% 19.34% +18.70% +81.89% Subscribe Copy Add to watch
69,12008307,Gold Breakout PRO All Star,https://www.myfxbook.com/members/daoforex4you/gold-breakout-pro-all-star/12008307,daoforex4you,Real (filter),,,220.3,35.65,12008307,Gold Breakout PRO All Star daoforex4you +220.30% 35.65% +17.74% +155.76% Subscribe Copy Add to watch
70,10677222,BarAussieTrio,https://www.myfxbook.com/members/Tradeworks/baraussietrio/10677222,Tradeworks,Real (filter),,,219.32,31.49,10677222,BarAussieTrio Tradeworks +219.32% 31.49% +3.93% +2.63% Subscribe Copy Add to watch
71,10925949,ExpertGPT - Sys05,https://www.myfxbook.com/members/Expert_GPT/expertgpt-sys05/10925949,Expert_GPT,Real (filter),,,217.83,41.81,10925949,ExpertGPT - Sys05 Expert_GPT +217.83% 41.81% +5.06% +9.98% Subscribe Copy Add to watch
72,10645702,1-5% per month,https://www.myfxbook.com/members/ShoffanArt/1-5-per-month/10645702,ShoffanArt,Real (filter),,,205.0,28.58,10645702,1-5% per month ShoffanArt +205.00% 28.58% +2.60% +5.89% Subscribe Copy Add to watch
73,11810511,YHQTV,https://www.myfxbook.com/members/yhqtv/yhqtv/11810511,yhqtv,Real (filter),,,204.91,33.66,11810511,YHQTV yhqtv +204.91% 33.66% +12.36% +30.22% Subscribe Copy Add to watch
74,11599431,ThunderBolt,https://www.myfxbook.com/members/ekalyvio/thunderbolt/11599431,ekalyvio,Real (filter),,,204.29,46.55,11599431,ThunderBolt ekalyvio +204.29% 46.55% +9.24% +44.04% Live update Subscribe Copy Add to watch
75,11204078,TriForce MT5,https://www.myfxbook.com/members/tec_daniel/triforce-mt5/11204078,tec_daniel,Real (filter),,,202.72,31.48,11204078,TriForce MT5 tec_daniel +202.72% 31.48% +3.77% +26.35% Subscribe Copy Add to watch
76,10979020,Terminator,https://www.myfxbook.com/members/jovasu/terminator/10979020,jovasu,Real (filter),,,200.19,38.02,10979020,Terminator jovasu +200.19% 38.02% +3.35% +9.14% Subscribe Copy Add to watch
77,11486660,Trade't - NewStorm - 1K Challenge,https://www.myfxbook.com/members/TradeWithaT/tradet-newstorm-1k-challenge/11486660,TradeWithaT,Real (filter),,,200.02,35.12,11486660,Trade't - NewStorm - 1K Challenge TradeWithaT +200.02% 35.12% +8.73% +41.54% Subscribe Copy Add to watch
78,10914385,ETS Intraday MAD1,https://www.myfxbook.com/members/dharma0277/ets-intraday-mad1/10914385,dharma0277,Real (filter),,,197.45,29.05,10914385,ETS Intraday MAD1 dharma0277 +197.45% 29.05% +3.94% +23.01% Subscribe Copy Add to watch
79,9914577,BitProfit SX,https://www.myfxbook.com/members/orfeysoft/bitprofit-sx/9914577,orfeysoft,Real (filter),,,187.2,12.19,9914577,BitProfit SX orfeysoft +187.20% 12.19% +2.29% +40.28% Subscribe Copy Add to watch
80,11902366,JDH - SmartMomentum Pro - Aggressive,https://www.myfxbook.com/members/JDHtrader/jdh-smartmomentum-pro-aggressive/11902366,JDHtrader,Real (filter),,,186.05,23.81,11902366,JDH - SmartMomentum Pro - Aggressive JDHtrader +186.05% 23.81% +39.67% +186.05% Subscribe Copy Add to watch
81,11421330,Jupiter3,https://www.myfxbook.com/members/asbarali/jupiter3/11421330,asbarali,Real (filter),,,185.86,39.1,11421330,Jupiter3 asbarali +185.86% 39.10% +5.50% -0.30% Subscribe Copy Add to watch
82,11922556,Gold Vector BlackBull,https://www.myfxbook.com/members/Spopobichi/gold-vector-blackbull/11922556,Spopobichi,Real (filter),,,184.96,19.15,11922556,Gold Vector BlackBull Spopobichi +184.96% 19.15% +35.30% +184.96% Subscribe Copy Add to watch
83,11873121,Just Connect,https://www.myfxbook.com/members/JustConnect/just-connect/11873121,JustConnect,Real (filter),,,184.84,16.75,11873121,Just Connect JustConnect +184.84% 16.75% +31.85% +164.47% Live update Subscribe Copy Add to watch
84,11797275,REKSADANA,https://www.myfxbook.com/members/einvanio/reksadana/11797275,einvanio,Real (filter),,,183.96,44.46,11797275,REKSADANA einvanio +183.96% 44.46% +18.84% +17.78% Subscribe Copy Add to watch
85,11422664,Pop-Ai,https://www.myfxbook.com/members/alexteme4/pop-ai/11422664,alexteme4,Real (filter),,,183.88,47.43,11422664,Pop-Ai alexteme4 +183.88% 47.43% +6.90% +14.84% Live update Subscribe Copy Add to watch
86,11162073,Fast Money Bot #3,https://www.myfxbook.com/members/Fast_Money_Bot/fast-money-bot-3/11162073,Fast_Money_Bot,Real (filter),,,180.1,47.59,11162073,Fast Money Bot #3 Fast_Money_Bot +180.10% 47.59% +5.52% +32.96% Subscribe Copy Add to watch
87,11455872,Tony_ea,https://www.myfxbook.com/members/Kingace/tony-ea/11455872,Kingace,Real (filter),,,175.43,41.14,11455872,Tony_ea Kingace +175.43% 41.14% +8.05% +22.53% Subscribe Copy Add to watch
88,10801155,Reversion,https://www.myfxbook.com/members/AlexandrRomanov/reversion/10801155,AlexandrRomanov,Real (filter),,,174.23,42.16,10801155,Reversion AlexandrRomanov +174.23% 42.16% +4.36% +24.52% Subscribe Copy Add to watch
89,11481271,KroganTrade_Strategy#1_RoboForex,https://www.myfxbook.com/members/OlehBoburchak/krogantrade-strategy1-roboforex/11481271,OlehBoburchak,Real (filter),,,173.79,49.2,11481271,KroganTrade_Strategy#1_RoboForex OlehBoburchak +173.79% 49.20% +8.25% +92.30% Subscribe Copy Add to watch
90,10900644,B832WTI,https://www.myfxbook.com/members/msongkiet/b832wti/10900644,msongkiet,Real (filter),,,172.25,44.54,10900644,B832WTI msongkiet +172.25% 44.54% +4.29% +52.46% Subscribe Copy Add to watch
91,12017746,MinorForce MT4,https://www.myfxbook.com/members/tec_daniel/minorforce-mt4/12017746,tec_daniel,Real (filter),,,170.35,32.59,12017746,MinorForce MT4 tec_daniel +170.35% 32.59% +3.69% +25.99% Subscribe Copy Add to watch
92,11585385,EdgeTrader,https://www.myfxbook.com/members/edgetraders/edgetrader/11585385,edgetraders,Real (filter),,,165.32,15.32,11585385,EdgeTrader edgetraders +165.32% 15.32% +4.91% +41.54% Subscribe Copy Add to watch
93,11956621,GoldPulseFX 03,https://www.myfxbook.com/members/GoldPulseFX/goldpulsefx-03/11956621,GoldPulseFX,Real (filter),,,162.01,24.82,11956621,GoldPulseFX 03 GoldPulseFX +162.01% 24.82% +23.26% +149.86% Subscribe Copy Add to watch
94,11104086,ExpertGPT - Sys07,https://www.myfxbook.com/members/Expert_GPT/expertgpt-sys07/11104086,Expert_GPT,Real (filter),,,161.69,41.41,11104086,ExpertGPT - Sys07 Expert_GPT +161.69% 41.41% +4.84% +10.73% Subscribe Copy Add to watch
95,11241572,TriForce MT4,https://www.myfxbook.com/members/tec_daniel/triforce-mt4/11241572,tec_daniel,Real (filter),,,161.0,34.11,11241572,TriForce MT4 tec_daniel +161.00% 34.11% +3.25% +15.50% Subscribe Copy Add to watch
96,11841508,DailyBreakoutGrowth,https://www.myfxbook.com/members/NaXxStY/dailybreakoutgrowth/11841508,NaXxStY,Real (filter),,,158.59,33.45,11841508,DailyBreakoutGrowth NaXxStY +158.59% 33.45% +22.81% +108.66% Subscribe Copy Add to watch
97,11689375,ORA ALGO (HF COPY),https://www.myfxbook.com/members/ORAALGO/ora-algo-hf-copy/11689375,ORAALGO,Real (filter),,,158.41,20.22,11689375,ORA ALGO (HF COPY) ORAALGO +158.41% 20.22% +12.51% +26.56% Subscribe Copy Add to watch
98,10926164,CADCHF (White Trillium),https://www.myfxbook.com/members/zerocore/cadchf-white-trillium/10926164,zerocore,Real (filter),,,156.19,24.87,10926164,CADCHF (White Trillium) zerocore +156.19% 24.87% +3.99% +57.33% Subscribe Copy Add to watch
99,12003585,Goldtrap,https://www.myfxbook.com/members/TraderFolgado/goldtrap/12003585,TraderFolgado,Real (filter),,,155.89,40.8,12003585,Goldtrap TraderFolgado +155.89% 40.80% +18.90% +105.72% Subscribe Copy Add to watch
100,10404466,BitProfit LUS,https://www.myfxbook.com/members/orfeysoft/bitprofit-lus/10404466,orfeysoft,Real (filter),,,155.77,9.93,10404466,BitProfit LUS orfeysoft +155.77% 9.93% +2.18% +16.74% Subscribe Copy Add to watch
101,11912841,Ninja,https://www.myfxbook.com/members/makare/ninja/11912841,makare,Real (filter),,,155.46,30.05,11912841,Ninja makare +155.46% 30.05% +32.58% +155.42% Subscribe Copy Add to watch
102,11637819,Trendlock_Ai,https://www.myfxbook.com/members/Gerralakazam/trendlock-ai/11637819,Gerralakazam,Real (filter),,,154.55,26.68,11637819,Trendlock_Ai Gerralakazam +154.55% 26.68% +10.13% +24.44% Subscribe Copy Add to watch
103,11787481,Crocodilepro,https://www.myfxbook.com/members/Dannytkk/crocodilepro/11787481,Dannytkk,Real (filter),,,148.93,20.09,11787481,Crocodilepro Dannytkk +148.93% 20.09% +13.31% +3.40% Subscribe Copy Add to watch
104,11115266,ExpertGPT - Sys08,https://www.myfxbook.com/members/Expert_GPT/expertgpt-sys08/11115266,Expert_GPT,Real (filter),,,147.32,37.94,11115266,ExpertGPT - Sys08 Expert_GPT +147.32% 37.94% +4.69% +18.28% Subscribe Copy Add to watch
