date,LETF_vs_QQQ,LETF_vs_GLD,QQQ_vs_GLD
2004-11-18,,,
2004-11-19,,,
2004-11-22,,,
2004-11-23,,,
2004-11-24,,,
2004-11-26,,,
2004-11-29,,,
2004-11-30,,,
2004-12-01,,,
2004-12-02,,,
2004-12-03,,,
2004-12-06,,,
2004-12-07,,,
2004-12-08,,,
2004-12-09,,,
2004-12-10,,,
2004-12-13,,,
2004-12-14,,,
2004-12-15,,,
2004-12-16,,,
2004-12-17,,,
2004-12-20,,,
2004-12-21,,,
2004-12-22,,,
2004-12-23,,,
2004-12-27,,,
2004-12-28,,,
2004-12-29,,,
2004-12-30,,,
2004-12-31,,,
2005-01-03,,,
2005-01-04,,,
2005-01-05,,,
2005-01-06,,,
2005-01-07,,,
2005-01-10,,,
2005-01-11,,,
2005-01-12,,,
2005-01-13,,,
2005-01-14,,,
2005-01-18,,,
2005-01-19,,,
2005-01-20,,,
2005-01-21,,,
2005-01-24,,,
2005-01-25,,,
2005-01-26,,,
2005-01-27,,,
2005-01-28,,,
2005-01-31,,,
2005-02-01,,,
2005-02-02,,,
2005-02-03,,,
2005-02-04,,,
2005-02-07,,,
2005-02-08,,,
2005-02-09,,,
2005-02-10,,,
2005-02-11,,,
2005-02-14,,,
2005-02-15,,,
2005-02-16,,,
2005-02-17,,,
2005-02-18,,,
2005-02-22,,,
2005-02-23,,,
2005-02-24,,,
2005-02-25,,,
2005-02-28,,,
2005-03-01,,,
2005-03-02,,,
2005-03-03,,,
2005-03-04,,,
2005-03-07,,,
2005-03-08,,,
2005-03-09,,,
2005-03-10,,,
2005-03-11,,,
2005-03-14,,,
2005-03-15,,,
2005-03-16,,,
2005-03-17,,,
2005-03-18,,,
2005-03-21,,,
2005-03-22,,,
2005-03-23,,,
2005-03-24,,,
2005-03-28,,,
2005-03-29,,,
2005-03-30,,,
2005-03-31,,,
2005-04-01,,,
2005-04-04,,,
2005-04-05,,,
2005-04-06,,,
2005-04-07,,,
2005-04-08,,,
2005-04-11,,,
2005-04-12,,,
2005-04-13,,,
2005-04-14,,,
2005-04-15,,,
2005-04-18,,,
2005-04-19,,,
2005-04-20,,,
2005-04-21,,,
2005-04-22,,,
2005-04-25,,,
2005-04-26,,,
2005-04-27,,,
2005-04-28,,,
2005-04-29,,,
2005-05-02,,,
2005-05-03,,,
2005-05-04,,,
2005-05-05,,,
2005-05-06,,,
2005-05-09,,,
2005-05-10,,,
2005-05-11,,,
2005-05-12,,,
2005-05-13,,,
2005-05-16,,,
2005-05-17,,,
2005-05-18,,,
2005-05-19,,,
2005-05-20,,,
2005-05-23,,,
2005-05-24,,,
2005-05-25,,,
2005-05-26,,,
2005-05-27,,,
2005-05-31,,,
2005-06-01,,,
2005-06-02,,,
2005-06-03,,,
2005-06-06,,,
2005-06-07,,,
2005-06-08,,,
2005-06-09,,,
2005-06-10,,,
2005-06-13,,,
2005-06-14,,,
2005-06-15,,,
2005-06-16,,,
2005-06-17,,,
2005-06-20,,,
2005-06-21,,,
2005-06-22,,,
2005-06-23,,,
2005-06-24,,,
2005-06-27,,,
2005-06-28,,,
2005-06-29,,,
2005-06-30,,,
2005-07-01,,,
2005-07-05,,,
2005-07-06,,,
2005-07-07,,,
2005-07-08,,,
2005-07-11,,,
2005-07-12,,,
2005-07-13,,,
2005-07-14,,,
2005-07-15,,,
2005-07-18,,,
2005-07-19,,,
2005-07-20,,,
2005-07-21,,,
2005-07-22,,,
2005-07-25,,,
2005-07-26,,,
2005-07-27,,,
2005-07-28,,,
2005-07-29,,,
2005-08-01,,,
2005-08-02,,,
2005-08-03,,,
2005-08-04,,,
2005-08-05,,,
2005-08-08,,,
2005-08-09,,,
2005-08-10,,,
2005-08-11,,,
2005-08-12,,,
2005-08-15,,,
2005-08-16,,,
2005-08-17,,,
2005-08-18,,,
2005-08-19,,,
2005-08-22,,,
2005-08-23,,,
2005-08-24,,,
2005-08-25,,,
2005-08-26,,,
2005-08-29,,,
2005-08-30,,,
2005-08-31,,,
2005-09-01,,,
2005-09-02,,,
2005-09-06,,,
2005-09-07,,,
2005-09-08,,,
2005-09-09,,,
2005-09-12,,,
2005-09-13,,,
2005-09-14,,,
2005-09-15,,,
2005-09-16,,,
2005-09-19,,,
2005-09-20,,,
2005-09-21,,,
2005-09-22,,,
2005-09-23,,,
2005-09-26,,,
2005-09-27,,,
2005-09-28,,,
2005-09-29,,,
2005-09-30,,,
2005-10-03,,,
2005-10-04,,,
2005-10-05,,,
2005-10-06,,,
2005-10-07,,,
2005-10-10,,,
2005-10-11,,,
2005-10-12,,,
2005-10-13,,,
2005-10-14,,,
2005-10-17,,,
2005-10-18,,,
2005-10-19,,,
2005-10-20,,,
2005-10-21,,,
2005-10-24,,,
2005-10-25,,,
2005-10-26,,,
2005-10-27,,,
2005-10-28,,,
2005-10-31,,,
2005-11-01,,,
2005-11-02,,,
2005-11-03,,,
2005-11-04,,,
2005-11-07,,,
2005-11-08,,,
2005-11-09,,,
2005-11-10,,,
2005-11-11,,,
2005-11-14,,,
2005-11-15,,,
2005-11-16,0.48815030913366503,-0.05041673397153166,-0.011573391324512112
2005-11-17,0.4969077621515355,-0.029879513417740918,0.020192502636368233
2005-11-18,0.4836516570320497,-0.030749643539330924,0.019899814730215157
2005-11-21,0.48209447129074545,-0.022976246719973472,0.023751362769424293
2005-11-22,0.4837716998327526,-0.019117686519524266,0.027135425039311517
2005-11-23,0.4850590570710039,-0.021902819596259587,0.026376594833418046
2005-11-25,0.48490978788635,-0.021659441583007935,0.02774983045404346
2005-11-28,0.49083000600318594,-0.028663748038446363,0.018131377765221453
2005-11-29,0.49122265351023053,-0.028864341415546377,0.017163007699320516
2005-11-30,0.4784883752973089,-0.016048603910699937,0.025595438790082047
2005-12-01,0.49003021932079394,0.014232139822886666,0.08823160630833358
2005-12-02,0.49041016364158707,0.014488803830343903,0.08909508891832274
2005-12-05,0.49158709404330975,0.011217270740461752,0.07750448103480745
2005-12-06,0.48071195273300626,0.011164697375570394,0.07968254851596913
2005-12-07,0.4788717039547313,0.004293301926728382,0.07691325247040526
2005-12-08,0.47624500344789106,0.0028479747058950803,0.06309139627364692
2005-12-09,0.4777373327057495,0.005662101620358554,0.06752688539089693
2005-12-12,0.47107557102152053,0.006445810781994587,0.06998743000104728
2005-12-13,0.47218570338847093,-0.008967466088151473,0.05778909263533305
2005-12-14,0.4696586983690148,-0.020342910155713947,0.07051090271181275
2005-12-15,0.47152429030905213,-0.01928220725621906,0.07018588827144093
2005-12-16,0.47172215246610116,-0.01805137992976114,0.07340117088253433
2005-12-19,0.4777917965619641,-0.01966567530454107,0.06816868208051508
2005-12-20,0.4712206136159442,-0.020613081237222962,0.06876056497139992
2005-12-21,0.47093758619634785,-0.019506738937819738,0.06835072609454977
